"Name","Host_name","Area","Price/night($)"
"Clean & quiet apt home by the park","John","Brooklyn","149"
"Skylit Midtown Castle","Jennifer","Manhattan","225"
"THE VILLAGE OF HARLEM....NEW YORK !","Elisabeth","Manhattan","150"
"Cozy Entire Floor of Brownstone","LisaRoxanne","Brooklyn","89"
"Entire Apt: Spacious Studio/Loft by central park","Laura","Manhattan","80"
"Large Cozy 1 BR Apartment In Midtown East","Chris","Manhattan","200"
"BlissArtsSpace!","Garon","Brooklyn","60"
"Large Furnished Room Near B'way ","Shunichi","Manhattan","79"
"Cozy Clean Guest Room - Family Apt","MaryEllen","Manhattan","79"
"Cute & Cozy Lower East Side 1 bdrm","Ben","Manhattan","150"
"Beautiful 1br on Upper West Side","Lena","Manhattan","135"
"Central Manhattan/near Broadway","Kate","Manhattan","85"
"Lovely Room 1, Garden, Best Area, Legal rental","Laurie","Brooklyn","89"
"Wonderful Guest Bedroom in Manhattan for SINGLES","Claudio","Manhattan","85"
"West Village Nest - Superhost","Alina","Manhattan","120"
"Only 2 stops to Manhattan studio","Allen & Irina","Brooklyn","140"
"Perfect for Your Parents + Garden","Jane","Brooklyn","215"
"Chelsea Perfect","Doti","Manhattan","140"
"Hip Historic Brownstone Apartment with Backyard","Adam And Charity","Brooklyn","99"
"Huge 2 BR Upper East  Cental Park","Sing","Manhattan","190"
"Sweet and Spacious Brooklyn Loft","Chaya","Brooklyn","299"
"CBG CtyBGd HelpsHaiti rm#1:1-4","Lisel","Brooklyn","130"
"CBG Helps Haiti Room#2.5","Lisel","Brooklyn","80"
"CBG Helps Haiti Rm #2","Lisel","Brooklyn","110"
"MAISON DES SIRENES1,bohemian apartment","Nathalie","Brooklyn","120"
"Sunny Bedroom Across Prospect Park","Gregory","Brooklyn","60"
"Magnifique Suite au N de Manhattan - vue Cloitres","Claude & Sophie","Manhattan","80"
"Midtown Pied-a-terre","Tommi","Manhattan","150"
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM","Shon","Manhattan","44"
"Modern 1 BR / NYC / EAST VILLAGE","Dana","Manhattan","180"
"front room/double bed","Ssameer Or Trip","Manhattan","50"
"Spacious 1 bedroom in luxe building","Teri","Manhattan","52"
"Loft in Williamsburg Area w/ Roof","Andrea","Brooklyn","55"
"back room/bunk beds","Ssameer Or Trip","Manhattan","50"
"Large B&B Style rooms","Angela","Brooklyn","70"
"Lovely room 2 & garden; Best area, Legal rental","Laurie","Brooklyn","89"
"Clean and Quiet in Brooklyn","Vt","Brooklyn","35"
"Cute apt in artist's home","Tyrome","Brooklyn","85"
"Country space in the city","Harriet","Brooklyn","150"
"LowerEastSide apt share shortterm 1","Ben","Manhattan","40"
"ENJOY Downtown NYC!","Edward","Manhattan","68"
"Beautiful Sunny Park Slope Brooklyn","Abdul","Brooklyn","120"
"1bdr w private bath. in lofty apt","Yolande","Brooklyn","120"
"West Side Retreat","Cyn","Manhattan","135"
"BEST BET IN HARLEM","Earl","Manhattan","150"
"Entire apartment in central Brooklyn neighborhood.","Rana","Brooklyn","150"
"1 Stop fr. Manhattan! Private Suite,Landmark Block","Orestes","Queens","130"
"Charming Brownstone 3 - Near PRATT","Adreinne","Brooklyn","110"
"bright and stylish duplex","Jennifer","Brooklyn","115"
"Fort Greene brownstone ","Alexander","Brooklyn","80"
"Blue Room for 2 in Brownstone for $1350 monthly","JT And Tiziana","Brooklyn","80"
"Cozy 1BD on Central Park West in New York City","Joya","Manhattan","151"
"* ORIGINAL BROOKLYN LOFT *","James","Brooklyn","228"
"Greenpoint Place...Has It All! ","Jeanne","Brooklyn","144"
"Beautiful Apartment in Manhattan!!!","Francesca","Manhattan","200"
"Williamsburg 1 bedroom Apartment","Joanna","Brooklyn","150"
"Great Location, Manhattan Bedroom!","Bianca","Manhattan","110"
"Best Location in NYC! TIMES SQUARE!","Luiz","Manhattan","69"
"Room in Greenpoint Loft w/ Roof","Andrea","Brooklyn","49"
"**Bright Nolita Apt w Doorman/Elevators/Gym**","Ted","Manhattan","180"
"Very, very cozy place","Cristina","Brooklyn","80"
"Sunny & Spacious Chelsea Apartment","Petra","Manhattan","375"
"2 bedroom - Upper East Side-great for kids","D","Manhattan","250"
"Comfortable 4-bedroom apt in family house.","Dimitri","Brooklyn","200"
"Double Room w Private Deck Clinton Hill Best Area","Patricia","Brooklyn","55"
"Your Heaven in Hells Kitchen","Mark","Manhattan","52"
"Light-filled 2B duplex in the heart of Park Slope!","Sara","Brooklyn","225"
"Sunny, Modern room in East Village!","Reka","Manhattan","80"
"*HAVEN LOFT - Entire Floor - Six Windows - Bricks*","Daniel","Brooklyn","275"
"Large Room in Amazing East Village Apt","Casey","Manhattan","99"
"SpaHa Loft: Enormous and Bright","Robin","Manhattan","225"
"Lovely EV Artist's Home","Anna","Manhattan","230"
"Cool Room in Hell's Kitchen","Enzo","Manhattan","51"
"HARLEM, NEW YORK WELCOMES YOU!!","Tye And Etienne","Manhattan","65"
"BLUE TRIM GUEST HOUSE","George","Brooklyn","105"
"Charming East Village One Bedroom Flat","Josh","Manhattan","190"
"Manhattan Room","Victoria","Manhattan","200"
"Little King of Queens","Justin","Queens","70"
"Fort Greene Retreat on the Park","Blaise","Brooklyn","95"
"Beautiful Meatpacking District Loft","DAVID And RICK","Manhattan","150"
"Cozy 2 BR in Williamsburg ","LulÃº","Brooklyn","145"
"Spacious luminous apt Upper West NYC","Sybilla","Manhattan","110"
"Entire 2 Bedroom - Large & Sunny","JoLynn","Manhattan","285"
"Sunny, Spacious Top Floor Haven","Gaia","Brooklyn","130"
"Private room Great Deal at Lower East Side","Ana","Manhattan","94"
"perfect for a family or small group","Maggie","Brooklyn","800"
"2 bedroom Williamsburg Apt - Bedford L stop","Starlee","Brooklyn","105"
"Oh glorious spring!","Edward","Manhattan","60"
"Great Location for NYC","Pas","Manhattan","50"
"Cozy Bedroom in Williamsburg 3 BR","LulÃº","Brooklyn","85"
"Sunny room+Pvte office in huge loft","Augustin","Brooklyn","65"
"Spacious Prospect Heights Apartment","Sean & Lynette","Brooklyn","131"
"Large Parlor Room, Landmark Home 1 block to PRATT","Erica","Brooklyn","98"
"2-bed brownstone duplex + garden","Tracy","Brooklyn","250"
"Charming 1 bed GR8 WBurg LOCATION!","Christiana","Brooklyn","100"
"Sunny Apartment in Artist Home","Tyrome","Brooklyn","105"
"Light-filled classic Central Park ","Dana","Manhattan","140"
"Upper Manhattan, New York","Elliott","Manhattan","89"
"COZY QUIET room 4 DOOGLERS!","Olan","Manhattan","98"
"The Stuydio Modern and Light Filled","Shelly","Brooklyn","125"
"loft bed - near transportation-15min to times sq","Ssameer Or Trip","Manhattan","60"
"House On Henry (3rd FLR Suite)","Annette","Brooklyn","175"
"Monkey Retreat Manhattan","Meka","Manhattan","65"
"2000 SF 3br 2bath West Village private  townhouse","Ann","Manhattan","500"
"Williamsburgâ€”Steps To Subway, Private Bath&Balcony","Seth","Brooklyn","101"
"Beautiful Duplex Apartment","Brenda","Brooklyn","220"
"Large 2 Bedroom Great for Groups!","Shelly","Brooklyn","125"
"Modern Brooklyn Apt., August sublet","Erik","Brooklyn","80"
"1,800 sq foot in luxury building","Dena","Manhattan","100"
"Sunny 2-story Brooklyn townhouse w deck and garden","Jessica","Brooklyn","200"
"Times Square, Safe, Clean and Cozy!","Luiz","Manhattan","59"
"Cozy Room #3, Landmark Home 1 Block to PRATT","Erica","Brooklyn","125"
"Beautiful Apartment East Village","Sally","Manhattan","140"
"Park Slope Green Guest House","Dani","Brooklyn","120"
"2 BR / 2 Bath Duplex Apt with patio! East Village","Bruce","Manhattan","350"
"NYC fabulous views Manhattan's eye","Nimo","Manhattan","199"
"2 story family home in Williamsburg","Alexandra","Brooklyn","325"
"Comfortable UWS 2-BD Family-Friendly Brownstone","Stacy","Manhattan","235"
"Great Large 1 BR apt  in East Village!","Bruce","Manhattan","225"
"Eveland Private Bed & Living Room w/ Own Entrance","Evelyn","Brooklyn","99"
"Sugar Hill Rest Stop ","Emma","Manhattan","170"
"3 Story Town House in Park Slope","Vero","Brooklyn","400"
"apartment next to Central park","Sylvie","Manhattan","170"
"East Village Sanctuary","Jen","Manhattan","100"
"Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.","Kay","Brooklyn","75"
"Modern Apt with Spectacular Views","Jo","Brooklyn","90"
"Garden studio in the Upper East Sid","Lisa","Manhattan","150"
"Secluded Master Bedroom in Beautiful Huge Apt","Fernando And Lenin","Manhattan","85"
"B & B Room 1","Angela","Brooklyn","70"
"ACCOMMODATIONS GALORE #1","Laurine","Manhattan","120"
"Sunny Room in New Condo","Chris","Brooklyn","89"
"Stylish & Sleek Apartment Near SoHo!","Uli","Manhattan","185"
"NYC artistsâ€™ loft with roof deck","Sol","Brooklyn","50"
"Unique & Charming small 1br Apt. LES","Cs","Manhattan","105"
"Most Central Location!","Lara","Manhattan","130"
"Luminous Beautiful West Village Studio","Tom","Manhattan","115"
"Sanctuary in East Flatbush","Sunder","Brooklyn","77"
"Room with En Suite Bathroom & Deck","Waldemar","Brooklyn","76"
"FLAT MACDONOUGH","Khem","Brooklyn","125"
"Huge Private  Floor at The Waverly","Sahr","Brooklyn","135"
"Modern Greenpoint, Brooklyn Apt","Ali+Scott","Brooklyn","250"
"Sun-drenched, artsy modernist 1 BDRM duplex","Elisabeth","Brooklyn","199"
"Sunny, Cobble Hill Apartment","Sarah","Brooklyn","140"
"Fully Furnished Basement Apartment","Fredah","Queens","140"
"FLAT MACDONOUGH GARDEN","Khem","Brooklyn","115"
"Light filled Williamsburg Apartment","Katherine","Brooklyn","160"
"Retreat in Williamsburg","Ming","Brooklyn","195"
"NYC Zen","Paula","Manhattan","195"
"Cozy BR in Wiliamsburg 3 Bedroom","LulÃº","Brooklyn","80"
"Sunny Room in Old Historical Brooklyn Townhouse","Obed","Brooklyn","44"
"Sun Filled Classic West Village Apt","Karen","Manhattan","156"
"Lg Rm in Historic Prospect Heights","Michael","Brooklyn","85"
"Classic Artist Loft Williamsburg","White","Brooklyn","125"
"Great location. Spacious on PROSPECT PARK","Paz","Brooklyn","115"
"Private Bdrm/Bathrm. New! Elevator!","Irene","Manhattan","69"
"Sunny, clean 1 bdrm in W. Village","Karene","Manhattan","225"
"Great location in Williamsburg","Viviana","Brooklyn","125"
"Light and Airy Upper East Side 1 BDR apartment","Sara","Manhattan","219"
"Luxury Brownstone in Boerum Hill","Sarah","Brooklyn","475"
"CENTRAL PARK LOFT all for YOU","Marie","Manhattan","99"
"Indie-Chic Share In Williamsburg","Gus","Brooklyn","69"
"A room w/ a Manhattan view, longer stay","Myung","Queens","79"
"Private, Large & Sunny 1BR w/W&D","RenÃ©e","Brooklyn","135"
"Luxurious Condo in DUBMO with View","Henry","Brooklyn","250"
"Charming & Cozy midtown loft any WEEK ENDS  !!!","Sylvia","Manhattan","250"
